year,episode_number,title,airdate,rating,total_votes,desc
2001,92,Arabasta no Eiyuu to Senjou no Ballerina,2001-12-09,7.6,585.0,Luffy and Usopp accidentally fish Mr. 2 Bon Clay who spends a short time with Straw Hat crew showing off the ability of his devil fruit.
2001,93,Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun,2001-12-16,7.2,575.0,"Straw Hat crew arrives at Nanohana, the port city of Alabasta. Luffy gets separated from the others, and somehow learns about Dance Powder."
2001,94,Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace,2001-12-23,8.9,1791.0,"Straw Hat crew meets Smoker and Tashigi. Smoker almost corners them when suddenly a powerful pirate appears to save Luffy. Luffy reveals him as Portgas D. Ace, his older brother."
2002,95,Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna,2002-01-06,8.1,636.0,Luffy and his crew manages to run away from Smoker and they meet Ace in their ship. Ace reveals that he is in a mission of searching for a man named Blackbeard.
2002,96,Midori no Machi Erumaru to Kung Fu Jugon!,2002-01-13,7.2,570.0,"Ace joins Luffy crew's journey temporarily and they go to the 'Green City' of Erumalu, which is only a desert now."
2002,97,Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono,2002-01-20,7.2,553.0,Straw Hat crew's journey through the desert after leaving Erumalu.
2002,98,Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi,2002-01-27,6.9,527.0,"Straw Hat crew meets the Desert Pirates, and Vivi realizes she knows the girl from the Desert Pirates when they were still young girls."
2002,109,Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!,2002-04-28,8.3,853.0,"Mr. Prince is actually Sanji, who lures Crocodile out so that he can go in and help the others. He manages to open the cage since using the copy key made from the wax of Mr. 3, who is swallowed by one of the Bananawani."
2002,110,Nasake Muyou no Shitou! Luffy vs Crocodile,2002-05-05,9.1,1854.0,"Straw Hat crew rush to Alubarne, where the final battle will take place. But Luffy is captured by Crocodile, so he tells the others to go without him. Battle between Luffy and Crocodile begins, with Crocodile overpowers him with his devil fruit's ability, sand."
2002,111,Kiseki e no Shissou! Arabasta Doubutsu Land,2002-05-12,7.8,547.0,"The rest of Straw Hat crew reaches Alubarna, while in Rainbase, Luffy gets stabbed by Crocodile, who leaves him to die. However, the mysterious Miss All Sunday saves Luffy."
2002,112,Hanrangun Tai Kokuougun! Kessen wa Alubarna!,2002-05-19,8.0,557.0,The war between Royal Army and Rebel Army is about to start and Straw Hat crew sets up a plan to stop it.
2002,113,Nageki no Alubarna! Gekitou Carue Taichou!,2002-06-02,7.7,533.0,"Vivi is standing between Alubarne and incoming Rebel Army to speak with Kohza. But a member of Baroque Work infiltrating the Royal Army interferes by shooting the cannon, sending dust spreading and covering the area. Vivi is nearly trampled, but Karoo sacrifices himself and covers her with his body."
